[20/06/2022 21:38:21] [INFO] received Windows console close event; shutting log-core down
[21/06/2022 13:39:27] [INFO] received Windows console close event; shutting log-core down
[21/06/2022 14:10:22] [INFO] received Windows console close event; shutting log-core down
[21/06/2022 23:18:06] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 00:32:33] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 00:35:53] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 00:43:58] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 00:47:35] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 00:53:33] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 00:58:00] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 01:02:44] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 01:05:19] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 01:07:43] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 01:09:20] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 01:13:43] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 01:17:19] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 01:20:49] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 02:16:31] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 02:20:22] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 02:38:26] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 02:45:53] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 02:50:21] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 17:32:17] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 18:14:31] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 18:25:07] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 18:34:06] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 18:39:47] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 18:57:59] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 19:01:00] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 19:01:55] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 19:07:02] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 19:09:32] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 19:12:45] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 19:14:57] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 19:18:01] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 19:20:19] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 21:39:47] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 21:53:07] [INFO] received Windows console close event; shutting log-core down
[22/06/2022 21:58:19] [INFO] received Windows console close event; shutting log-core down
[23/06/2022 00:23:21] [INFO] received Windows console close event; shutting log-core down
[23/06/2022 00:24:37] [INFO] received Windows console close event; shutting log-core down
[23/06/2022 01:06:27] [INFO] received Windows console close event; shutting log-core down
[23/06/2022 13:17:29] [INFO] received Windows console close event; shutting log-core down
[23/06/2022 14:05:27] [INFO] received Windows console close event; shutting log-core down
[23/06/2022 20:56:03] [INFO] received Windows console close event; shutting log-core down
[24/06/2022 17:20:27] [INFO] received Windows console close event; shutting log-core down
[24/06/2022 21:46:52] [INFO] received Windows console close event; shutting log-core down
[25/06/2022 02:32:23] [INFO] received Windows console close event; shutting log-core down
[25/06/2022 16:47:06] [INFO] received Windows console close event; shutting log-core down
